x,y,z,kmeans_cluster,dbscan_cluster,image_id
-9.439234,39.939636,-34.908257,5,-1,92
-7.2244983,-31.626783,52.776566,2,-1,93
-6.096143,-62.711002,-1.9320277,4,-1,94
-28.135468,-5.476383,23.787771,7,-1,95
-38.119396,-43.732117,30.857615,6,-1,96
-35.092857,20.815472,12.01175,8,-1,97
-24.3979,43.866035,23.99143,8,-1,98
-18.371344,-50.56598,-27.445051,4,-1,99
-2.0671875,-46.49,26.644682,4,-1,100
-3.0000448,-32.980476,32.095375,7,-1,101
33.912876,17.389328,17.210691,0,-1,102
-43.85971,-10.143614,33.07385,7,-1,103
31.273994,36.05569,-20.267656,3,-1,104
50.70257,42.177288,-19.748869,3,-1,105
-46.321754,-0.9765403,6.936763,6,-1,106
-12.49176,-30.333569,50.936584,2,-1,107
11.408969,38.222126,2.7517147,5,-1,108
9.126006,-24.371523,-5.7668104,1,-1,109
-13.365643,-63.78086,0.362525,4,-1,110
-0.9289985,29.663315,19.139288,8,-1,111
-15.940159,20.746977,3.4764824,8,-1,112
4.622203,-42.024693,45.53217,6,-1,113
34.323242,44.062737,-34.99359,3,-1,114
24.226202,-24.98319,6.9148707,0,-1,115
-12.079286,46.11537,21.938414,9,-1,116
27.926987,2.086113,26.773434,9,-1,117
-19.309757,-3.327875,64.35114,2,-1,118
-12.3774395,-19.419363,-18.86965,1,-1,119
9.754131,40.361046,-8.790025,5,-1,120
-35.027695,34.516758,20.072372,0,-1,121
30.88085,-1.4454191,-66.48688,3,-1,122
-3.213238,41.013874,29.070662,0,-1,123
-4.798221,17.286663,-24.737347,5,-1,124
-2.8452935,24.451015,5.059326,6,-1,125
-4.026163,36.98983,-19.853298,5,-1,126
26.644327,-3.6659412,40.757885,7,-1,127
25.949764,-18.055647,-2.1688483,9,-1,128
-14.146023,10.216525,29.072828,6,-1,129
-11.551237,-58.371513,26.642078,7,-1,130
50.802666,24.270563,-26.39771,3,-1,131
3.3485909,37.790558,-28.68142,5,-1,132
23.690838,36.473495,-58.088696,3,-1,133
27.32098,-8.793311,-8.880192,9,-1,134
6.5492425,21.411028,25.890614,6,-1,135
37.093586,19.891994,-58.63543,3,-1,136
-0.69349444,-71.85485,-14.419348,4,-1,137
-6.646694,9.152707,24.367916,6,-1,138
4.396897,31.1956,-41.556293,3,-1,139
-28.09783,-12.730484,29.367367,2,-1,140
-7.999999,-9.227186,-12.428636,0,-1,141
-11.459263,-36.442898,66.16446,2,-1,142
46.354893,-3.4070456,2.2164752,1,-1,143
-42.714634,12.232722,-17.08442,1,-1,144
22.70445,-15.568091,27.646782,1,-1,145
-3.2889087,-20.496635,34.443714,7,-1,146
-51.490746,-0.1973336,-25.168472,1,-1,147
11.322292,-8.981679,19.39733,0,-1,148
1.8395467,19.189022,17.425262,6,-1,149
-3.0026581,46.01908,-0.87157893,5,-1,150
16.25534,11.076404,-31.467178,3,-1,151
-9.808007,-14.754319,53.448227,7,-1,152
19.790663,-12.988222,-19.386782,9,-1,153
-19.508825,36.471226,11.445309,8,-1,154
-24.079323,7.087622,60.778816,1,-1,155
-22.294268,15.1215105,21.300428,6,-1,156
34.320343,9.059105,-31.125233,3,-1,157
-38.280064,-15.736947,6.979822,1,-1,158
-12.191973,-47.12579,-18.245676,4,-1,159
-36.935234,33.96021,10.111061,8,-1,160
44.48623,25.831577,-13.215297,3,-1,161
-21.578798,12.916204,50.797344,1,-1,162
-31.752117,-41.95524,40.35077,2,-1,163
5.609657,-12.871972,-30.981607,5,-1,164
-16.547277,-45.836555,-7.485096,9,-1,165
-12.733866,15.352287,-23.588448,5,-1,166
-20.804865,-46.920242,34.110634,7,-1,167
-47.244816,-15.247467,-20.488285,1,-1,168
-18.883846,11.718095,-12.860448,5,-1,169
43.257275,-10.200343,-41.89149,3,-1,170
5.2159615,-0.7978442,-36.34018,5,-1,171
15.187549,56.743206,-11.668822,3,-1,172
-6.078556,50.676617,-18.139744,5,-1,173
32.43562,34.093742,-47.46536,3,-1,174
39.273643,15.864112,-32.13293,3,-1,175
-54.57114,-4.9822955,15.022713,2,-1,176
10.851315,-61.26307,-1.5217931,4,-1,177
26.107779,-31.919758,31.33461,1,-1,178
10.195547,-4.4139457,-16.040937,5,-1,179
-36.17884,37.37732,1.1220938,8,-1,180
-26.767338,-3.215658,-12.738612,1,-1,181
-12.697361,16.302725,9.420485,8,-1,182
-30.554422,-38.959026,57.950153,2,-1,183
-28.640724,1.5328984,12.891355,9,-1,184
-10.524684,47.980232,-30.227608,5,-1,185
-29.996609,-43.906624,14.046444,7,-1,186
16.852798,-16.037273,31.343786,1,-1,187
-32.295532,-7.8156166,14.6030855,8,-1,188
-7.690471,22.06934,-15.772341,8,-1,189
-33.35348,-9.957637,-27.986383,1,-1,190
23.252094,57.057842,-7.839548,3,-1,191
11.049234,8.508059,-11.153396,9,-1,192
17.589096,15.470192,-17.411535,3,-1,193
-2.3960085,-64.74804,7.3546405,4,-1,194
0.80727655,39.241386,33.32848,0,-1,195
26.01692,49.853096,-2.614407,5,-1,196
-18.373957,11.10751,-41.051353,8,-1,197
13.918206,-29.86944,-0.57700276,0,-1,198
23.127703,46.571922,-13.412867,1,-1,199
33.446377,-16.002304,36.438065,1,-1,200
10.06772,16.757444,-15.307007,5,-1,201
-20.492094,40.63092,-30.868633,8,-1,202
30.658075,-8.294258,-61.764057,9,-1,203
35.916897,23.523092,-23.232203,3,-1,204
-58.617477,-6.4653716,12.84862,1,-1,205
-24.417273,54.75083,-4.7225547,5,-1,206
-10.600441,-15.489445,38.259354,7,-1,207
0.5701641,-55.710243,-6.8255186,4,-1,208
28.880148,7.2933254,-35.81445,3,-1,209
-6.51348,-25.290165,30.885357,7,-1,210
9.882046,8.567388,-2.2875772,9,-1,211
-25.296457,-9.243754,-10.028183,1,-1,212
25.334503,-1.9849786,-25.641415,9,-1,213
4.554767,31.312805,9.1154175,8,-1,214
-17.477861,44.0089,19.133146,8,-1,215
2.9245229,-56.930622,0.7155927,4,-1,216
43.61649,10.185281,-36.323963,3,-1,217
-17.383522,26.800062,0.40041894,8,-1,218
-5.4009104,45.074635,38.37681,6,-1,219
0.45239305,-39.800232,-10.642465,9,-1,220
-19.225046,-2.9542515,31.679836,7,-1,221
36.84796,7.46563,-42.994476,3,-1,222
-25.46463,-32.729748,15.562456,7,-1,223
-40.709503,-0.8354023,46.903675,7,-1,224
23.126484,6.5969973,-57.011818,3,-1,225
-7.2525043,9.86675,-16.629944,5,-1,226
-31.271688,-1.4629781,18.550932,6,-1,227
22.739302,-35.878258,27.440516,1,-1,228
-9.222555,-35.19873,15.595365,7,-1,229
-29.051071,-12.74151,-10.324039,0,-1,230
26.04323,33.416058,-62.421215,3,-1,231
-0.06854963,-7.17921,0.14747085,0,-1,232
-20.651274,41.19574,-17.548088,5,-1,233
6.897741,40.526276,-14.010194,5,-1,234
-29.367584,33.547993,-6.2627087,8,-1,235
-21.328085,-50.82885,30.265877,7,-1,236
38.64736,-9.247629,-38.91118,3,-1,237
-43.753624,-12.150168,-1.7688009,1,-1,238
-32.848026,-21.19938,-0.24081625,4,-1,239
42.552647,25.085695,-20.096943,3,-1,240
31.774454,25.333961,-14.37575,3,-1,241
12.714251,34.971832,-5.5368814,3,-1,242
36.593395,-2.9435384,-43.190697,3,-1,243
-27.925844,29.097029,0.32892883,8,-1,244
6.650788,-5.9993534,13.123962,0,-1,245
-13.053519,32.610115,-47.32918,5,-1,246
21.854614,17.428705,-46.364944,3,-1,247
29.61953,4.0502677,16.812315,0,-1,248
0.64356756,15.704226,2.5176795,6,-1,249
30.642292,-21.041622,36.2399,1,-1,250
-2.2645237,-13.183035,8.065101,1,-1,251
27.502413,12.326353,-64.23998,3,-1,252
21.195967,31.046507,-47.737984,3,-1,253
-18.516876,-52.995926,20.464188,7,-1,254
-0.79439193,31.665588,-4.06564,5,-1,255
-18.399601,-18.61087,27.21248,7,-1,256
-18.5946,38.31436,1.5004681,8,-1,257
6.480894,15.264055,-17.894135,5,-1,258
43.043232,27.993683,-60.800095,3,-1,259
19.92003,48.010136,-19.816696,3,-1,260
47.52398,23.669512,3.2818396,3,-1,261
22.685568,-20.753536,11.057612,0,-1,262
16.244696,-18.511345,1.5980251,0,-1,263
-5.6439633,43.520733,7.305211,5,-1,264
-13.304051,13.76793,-18.16253,8,-1,265
-0.0049123014,-10.196907,37.6005,7,-1,266
-14.345141,-43.34197,14.862988,7,-1,267
